0.155: [GC 20981K->11663K(4020224K), 0.0030048 secs]
0.158: [Full GC 11663K->6423K(4020224K), 0.0172570 secs]
0.207: [GC 48386K->6965K(4020224K), 0.0007391 secs]
0.208: [Full GC 6965K->6427K(4020224K), 0.0129532 secs]
0.388: [GC 48391K->13344K(4020224K), 0.0020610 secs]
0.390: [Full GC 13344K->7707K(4020224K), 0.0159696 secs]
0.414: [GC 28689K->7931K(4020224K), 0.0005073 secs]
0.415: [Full GC 7931K->1967K(4020224K), 0.0192609 secs]
0.442: [GC 22949K->7257K(4020224K), 0.0013132 secs]
0.443: [Full GC 7257K->7000K(4020224K), 0.0097589 secs]
0.458: [GC 27982K->7160K(4020224K), 0.0005881 secs]
0.459: [Full GC 7160K->1941K(4020224K), 0.0103868 secs]
0.474: [GC 22923K->7264K(4020224K), 0.0012762 secs]
0.476: [Full GC 7264K->7007K(4020224K), 0.0099018 secs]
0.490: [GC 27989K->7103K(4020224K), 0.0004449 secs]
0.491: [Full GC 7103K->1948K(4020224K), 0.0098291 secs]
0.507: [GC 22930K->7207K(4020224K), 0.0013194 secs]
0.508: [Full GC 7207K->7008K(4020224K), 0.0094333 secs]
0.522: [GC 48972K->7136K(4020224K), 0.0005042 secs]
0.523: [Full GC 7136K->1960K(4020224K), 0.0098856 secs]
0.540: [GC 22941K->7218K(4020224K), 0.0013117 secs]
0.541: [Full GC 7218K->7015K(4020224K), 0.0105654 secs]
0.556: [GC 27997K->7111K(4020224K), 0.0004946 secs]
0.556: [Full GC 7111K->1955K(4020224K), 0.0098763 secs]
0.571: [GC 22937K->7213K(4020224K), 0.0012946 secs]
0.573: [Full GC 7213K->7019K(4020224K), 0.0095535 secs]
0.586: [GC 28001K->7147K(4020224K), 0.0082375 secs]
0.594: [Full GC 7147K->1964K(4020224K), 0.0102137 secs]
0.611: [GC 22946K->7254K(4020224K), 0.0013188 secs]
0.612: [Full GC 7254K->7025K(4020224K), 0.0095386 secs]
0.625: [GC 28007K->7121K(4020224K), 0.0004405 secs]
0.625: [Full GC 7121K->1967K(4020224K), 0.0099369 secs]
0.640: [GC 22949K->7289K(4020224K), 0.0012856 secs]
0.641: [Full GC 7289K->7031K(4020224K), 0.0096887 secs]
0.654: [GC 28012K->7159K(4020224K), 0.0004794 secs]
0.655: [Full GC 7159K->1973K(4020224K), 0.0098959 secs]
0.670: [GC 22955K->7264K(4020224K), 0.0012700 secs]
0.671: [Full GC 7264K->7036K(4020224K), 0.0097586 secs]
0.684: [GC 28018K->7164K(4020224K), 0.0004548 secs]
0.684: [Full GC 7164K->1980K(4020224K), 0.0103691 secs]
0.700: [GC 22962K->7238K(4020224K), 0.0012921 secs]
0.701: [Full GC 7238K->7042K(4020224K), 0.0098735 secs]
0.714: [GC 28024K->7138K(4020224K), 0.0004592 secs]
0.715: [Full GC 7138K->1986K(4020224K), 0.0102569 secs]
0.730: [GC 22968K->7277K(4020224K), 0.0012731 secs]
0.732: [Full GC 7277K->7049K(4020224K), 0.0099922 secs]
0.744: [GC 28031K->7145K(4020224K), 0.0004530 secs]
0.744: [Full GC 7145K->1983K(4020224K), 0.0102128 secs]
0.759: [GC 22965K->7305K(4020224K), 0.0012474 secs]
0.761: [Full GC 7305K->7055K(4020224K), 0.0099195 secs]
0.773: [GC 28036K->7151K(4020224K), 0.0004455 secs]
0.774: [Full GC 7151K->1991K(4020224K), 0.0100904 secs]
0.788: [GC 22973K->7282K(4020224K), 0.0012415 secs]
0.789: [Full GC 7282K->7059K(4020224K), 0.0100304 secs]
0.802: [GC 28041K->7155K(4020224K), 0.0004253 secs]
0.802: [Full GC 7155K->1989K(4020224K), 0.0103169 secs]
0.817: [GC 22971K->7251K(4020224K), 0.0013331 secs]
0.818: [Full GC 7251K->7070K(4020224K), 0.0100522 secs]
0.835: [GC 28052K->7326K(4020224K), 0.0005406 secs]
